ID	freebayes	lofreq	Mutect2	sniper	strelka2	VarDict	VarScan
FA210J0125-A3ABF91RNF2-Y01K-100100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-10040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-10080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-40100	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-4040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-4060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-4080	0.0	0.0	0.0	0.0	0.0	1.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-60100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-6040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-6060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-6080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-80100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-8040	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-8060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210J0125-A3ABF91RNF2-Y01K-8080	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210L0080-A3ABF91RNF3-Y01K-100100	0.0	1.0	0.0	0.0	0.0	0.0	0.0
FA210L0080-A3ABF91RNF3-Y01K-10040	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FA210L0080-A3ABF91RNF3-Y01K-10060	0.0	1.0	0.0	0.0	0.0	0.0	0.0
